Algorithm,Time (s),CO2 Emission (kg),Nodes,Repetition
Dijkstra Clássico,0.012712717056274414,2.113312437340259e-08,100,1
Dijkstra com Min-Heap,0.005443572998046875,8.729875449999436e-09,100,1
NetworkX Dijkstra,0.017308473587036133,2.5873563539273892e-08,100,1
Dijkstra Clássico,0.013382911682128906,2.1461043514907626e-08,100,2
Dijkstra com Min-Heap,0.005517005920410156,8.858108470450045e-09,100,2
NetworkX Dijkstra,0.015167474746704102,2.287904922450954e-08,100,2
Dijkstra Clássico,0.011687040328979492,1.7824836023762153e-08,100,3
Dijkstra com Min-Heap,0.005349636077880859,8.558380169118362e-09,100,3
NetworkX Dijkstra,0.015145301818847656,2.268008439105253e-08,100,3
Dijkstra Clássico,0.011224031448364258,1.6878358639144856e-08,100,4
Dijkstra com Min-Heap,0.010509729385375977,1.641019593368815e-08,100,4
NetworkX Dijkstra,0.014545202255249023,2.1968341075988012e-08,100,4
Dijkstra Clássico,0.007317304611206055,1.1486302575091739e-08,100,5
Dijkstra com Min-Heap,0.0054779052734375,8.770624646608492e-09,100,5
NetworkX Dijkstra,0.014944076538085938,2.238587703162423e-08,100,5
Dijkstra Clássico,0.0071086883544921875,1.1187252123665414e-08,100,6
Dijkstra com Min-Heap,0.005541563034057617,8.911747060512318e-09,100,6
NetworkX Dijkstra,0.015262126922607422,2.2915875086719536e-08,100,6
Dijkstra Clássico,0.007204294204711914,1.2547673098147705e-08,100,7
Dijkstra com Min-Heap,0.00557708740234375,8.938416852160182e-09,100,7
NetworkX Dijkstra,0.026178836822509766,3.840365597608361e-08,100,7
Dijkstra Clássico,0.011460304260253906,1.758690974185525e-08,100,8
Dijkstra com Min-Heap,0.005524158477783203,8.923944875749356e-09,100,8
NetworkX Dijkstra,0.015217781066894531,2.2802478340248034e-08,100,8
Dijkstra Clássico,0.007007122039794922,1.103612054652375e-08,100,9
Dijkstra com Min-Heap,0.006590366363525391,1.0370092865129196e-08,100,9
NetworkX Dijkstra,0.01447749137878418,2.1659168975683997e-08,100,9
Dijkstra Clássico,0.007151603698730469,1.1192839518715469e-08,100,10
Dijkstra com Min-Heap,0.005459308624267578,8.807848339937186e-09,100,10
NetworkX Dijkstra,0.014856100082397461,2.3688132609081854e-08,100,10
Dijkstra Clássico,0.011832475662231445,1.778524125553238e-08,100,11
Dijkstra com Min-Heap,0.007985115051269531,1.2429394807661673e-08,100,11
NetworkX Dijkstra,0.015042543411254883,2.2520548909186705e-08,100,11
Dijkstra Clássico,0.007069587707519531,1.1130865731916184e-08,100,12
Dijkstra com Min-Heap,0.009086847305297852,1.3814298082739953e-08,100,12
NetworkX Dijkstra,0.014499664306640625,2.1794748728621004e-08,100,12
Dijkstra Clássico,0.007061481475830078,1.1056765158146635e-08,100,13
Dijkstra com Min-Heap,0.005471229553222656,8.78575500795632e-09,100,13
NetworkX Dijkstra,0.015603780746459961,2.3656464211355065e-08,100,13
Dijkstra Clássico,0.007075786590576172,1.1089853932780174e-08,100,14
Dijkstra com Min-Heap,0.019034385681152344,2.9171350781049123e-08,100,14
NetworkX Dijkstra,0.02608036994934082,3.82547276680382e-08,100,14
Dijkstra Clássico,0.007169008255004883,1.1465266142970138e-08,100,15
Dijkstra com Min-Heap,0.005566835403442383,9.041687852585154e-09,100,15
NetworkX Dijkstra,0.014415979385375977,2.1856012019539493e-08,100,15
Dijkstra Clássico,0.007108926773071289,1.1158599867772864e-08,100,16
Dijkstra com Min-Heap,0.005343198776245117,8.563908623947321e-09,100,16
NetworkX Dijkstra,0.014776229858398438,2.2256477085062828e-08,100,16
Dijkstra Clássico,0.007041215896606445,1.113557304904364e-08,100,17
Dijkstra com Min-Heap,0.005532979965209961,8.873993585021902e-09,100,17
NetworkX Dijkstra,0.015028715133666992,2.288192324024035e-08,100,17
Dijkstra Clássico,0.02211141586303711,3.3218784179439687e-08,100,18
Dijkstra com Min-Heap,0.009612321853637695,1.4553040928805282e-08,100,18
NetworkX Dijkstra,0.014392852783203125,2.1547271353629762e-08,100,18
Dijkstra Clássico,0.007001638412475586,1.2295265892771072e-08,100,19
Dijkstra com Min-Heap,0.0062694549560546875,9.921019847674845e-09,100,19
NetworkX Dijkstra,0.01467442512512207,2.1923295711249806e-08,100,19
Dijkstra Clássico,0.0069882869720458984,1.0922038506014747e-08,100,20
Dijkstra com Min-Heap,0.0055544376373291016,8.901132784290718e-09,100,20
NetworkX Dijkstra,0.014984607696533203,2.2419163322033916e-08,100,20
Dijkstra Clássico,0.37714242935180664,5.418169714389258e-07,500,1
Dijkstra com Min-Heap,0.28501343727111816,4.0958797309031733e-07,500,1
NetworkX Dijkstra,0.5074245929718018,7.288105791956058e-07,500,1
Dijkstra Clássico,0.27964115142822266,4.02056505856541e-07,500,2
Dijkstra com Min-Heap,0.20445775985717773,2.9426214234674583e-07,500,2
NetworkX Dijkstra,0.48839473724365234,7.014171279072566e-07,500,2
Dijkstra Clássico,0.284390926361084,4.0887078286712813e-07,500,3
Dijkstra com Min-Heap,0.20306110382080078,2.9217574252541403e-07,500,3
NetworkX Dijkstra,0.6683177947998047,9.59410593435352e-07,500,3
Dijkstra Clássico,0.4156777858734131,5.97503743327821e-07,500,4
Dijkstra com Min-Heap,0.19933605194091797,2.869100234141611e-07,500,4
NetworkX Dijkstra,0.4880056381225586,7.023192045165525e-07,500,4
Dijkstra Clássico,0.2801177501678467,4.0271580113926795e-07,500,5
Dijkstra com Min-Heap,0.20510077476501465,2.952497492747211e-07,500,5
NetworkX Dijkstra,0.4934384822845459,7.086636061308802e-07,500,5
Dijkstra Clássico,0.2703683376312256,3.887396800274365e-07,500,6
Dijkstra com Min-Heap,0.29410481452941895,4.228043604780068e-07,500,6
NetworkX Dijkstra,0.8036282062530518,1.1549254599087072e-06,500,6
Dijkstra Clássico,0.27227163314819336,3.9141228733773546e-07,500,7
Dijkstra com Min-Heap,0.2098701000213623,3.018691515675142e-07,500,7
NetworkX Dijkstra,0.47908639907836914,6.88106420143498e-07,500,7
Dijkstra Clássico,0.28949761390686035,4.1615279169617446e-07,500,8
Dijkstra com Min-Heap,0.20054101943969727,2.885758183435547e-07,500,8
NetworkX Dijkstra,0.5102574825286865,7.328990772546234e-07,500,8
Dijkstra Clássico,0.40728163719177246,5.85148193935503e-07,500,9
Dijkstra com Min-Heap,0.2976391315460205,4.2775145488119456e-07,500,9
NetworkX Dijkstra,0.487201452255249,6.998851586528776e-07,500,9
Dijkstra Clássico,0.270984411239624,3.8962990105904565e-07,500,10
Dijkstra com Min-Heap,0.20525908470153809,2.953436722974365e-07,500,10
NetworkX Dijkstra,0.4981207847595215,7.154640330789481e-07,500,10
Dijkstra Clássico,0.277937650680542,3.995772022238701e-07,500,11
Dijkstra com Min-Heap,0.21351146697998047,3.0721008593142125e-07,500,11
NetworkX Dijkstra,0.7871658802032471,1.1298142787277503e-06,500,11
Dijkstra Clássico,0.33260321617126465,4.779338948520337e-07,500,12
Dijkstra com Min-Heap,0.21939682960510254,3.15687626639935e-07,500,12
NetworkX Dijkstra,0.4965848922729492,7.131547618010349e-07,500,12
Dijkstra Clássico,0.2882239818572998,4.15883303151072e-07,500,13
Dijkstra com Min-Heap,0.20376896858215332,2.9324020021934753e-07,500,13
NetworkX Dijkstra,0.5038247108459473,7.236234946371802e-07,500,13
Dijkstra Clássico,0.2784740924835205,4.003705058763949e-07,500,14
Dijkstra com Min-Heap,0.2687060832977295,3.8619477083486615e-07,500,14
NetworkX Dijkstra,0.6338315010070801,9.099975054177267e-07,500,14
Dijkstra Clássico,0.28745293617248535,4.132273177459062e-07,500,15
Dijkstra com Min-Heap,0.20351600646972656,2.9282380783279177e-07,500,15
NetworkX Dijkstra,0.510645866394043,7.333716524393538e-07,500,15
Dijkstra Clássico,0.269559383392334,3.875527663020127e-07,500,16
Dijkstra com Min-Heap,0.19867444038391113,2.860163864294354e-07,500,16
NetworkX Dijkstra,0.498673677444458,7.162365054653913e-07,500,16
Dijkstra Clássico,0.4107027053833008,5.898605279743644e-07,500,17
Dijkstra com Min-Heap,0.25919342041015625,3.7273596252536875e-07,500,17
NetworkX Dijkstra,0.5039472579956055,7.238040597896588e-07,500,17
Dijkstra Clássico,0.27127814292907715,3.900124189116297e-07,500,18
Dijkstra com Min-Heap,0.20605111122131348,2.966236494573485e-07,500,18
NetworkX Dijkstra,0.4896261692047119,7.031782164486519e-07,500,18
Dijkstra Clássico,0.29148006439208984,4.1912461712751523e-07,500,19
Dijkstra com Min-Heap,0.20331788063049316,2.926220167233543e-07,500,19
NetworkX Dijkstra,0.7821240425109863,1.1225579419363486e-06,500,19
Dijkstra Clássico,0.27054762840270996,3.904261828119126e-07,500,20
Dijkstra com Min-Heap,0.20821380615234375,2.99646947773103e-07,500,20
NetworkX Dijkstra,0.4997115135192871,7.176674679089818e-07,500,20
