Nodes,Algorithm,Mean_Time,Std_Time,Mean_CO2,Std_CO2,Time CI 95%,CO2 Emission CI 95%
100,Dijkstra Clássico,0.009335792064666748,0.003810683865544609,1.4679635693580203e-08,5.667225990003704e-09,"(np.float64(0.007552337117279963), np.float64(0.011119247012053534))","(np.float64(1.2027292285821136e-08), np.float64(1.733197910133927e-08))"
100,Dijkstra com Min-Heap,0.007022356986999512,0.003242232840696564,1.1066740848254252e-08,4.842381145036222e-09,"(np.float64(0.005504945308585773), np.float64(0.008539768665413252))","(np.float64(8.800436711001163e-09), np.float64(1.3333044985507341e-08))"
100,NetworkX Dijkstra,0.016130101680755616,0.0034768404725040746,2.421834292496112e-08,4.920533827805474e-09,"(np.float64(0.014502890250799904), np.float64(0.01775731311071133))","(np.float64(2.1915462206271657e-08), np.float64(2.652122364365058e-08))"
500,Dijkstra Clássico,0.30628167390823363,0.051789492658732415,4.404007697831145e-07,7.422400174802179e-08,"(np.float64(0.2820434452427687), np.float64(0.33051990257369857))","(np.float64(4.056628676629038e-07), np.float64(4.751386719033252e-07))"
500,Dijkstra com Min-Heap,0.22443666458129882,0.03462662380710752,3.228665771293019e-07,4.961633978041893e-08,"(np.float64(0.2082309057938899), np.float64(0.24064242336870775))","(np.float64(2.996454153182406e-07), np.float64(3.460877389403632e-07))"
500,NetworkX Dijkstra,0.5565005540847778,0.11191987817706821,7.99265357239819e-07,1.6058216796710532e-07,"(np.float64(0.5041204387331487), np.float64(0.608880669436407))","(np.float64(7.241105892170721e-07), np.float64(8.744201252625659e-07))"
1000,Dijkstra Clássico,1.2675268054008484,0.21068856728374433,1.8189097992102316e-06,3.021658333826176e-07,"(np.float64(1.1689215206440857), np.float64(1.366132090157611))","(np.float64(1.6774918360592886e-06), np.float64(1.9603277623611746e-06))"
1000,Dijkstra com Min-Heap,0.9159043431282043,0.1256757071635792,1.3147711619542046e-06,1.8071341307805443e-07,"(np.float64(0.8570863016386394), np.float64(0.9747223846177693))","(np.float64(1.230194681200363e-06), np.float64(1.3993476427080462e-06))"
1000,NetworkX Dijkstra,2.24674711227417,0.3236250672841401,3.2233851451555882e-06,4.6416308348825113e-07,"(np.float64(2.0952859185065797), np.float64(2.3982083060417603))","(np.float64(3.0061501351547997e-06), np.float64(3.4406201551563768e-06))"
5000,Dijkstra Clássico,37.43457589149475,0.38104335878718054,5.368376771093574e-05,5.468933336179242e-07,"(np.float64(37.25624211011172), np.float64(37.612909672877784))","(np.float64(5.342781375202754e-05), np.float64(5.393972166984393e-05))"
5000,Dijkstra com Min-Heap,28.8828595995903,0.5506728285163154,4.142243538033178e-05,7.90533896212704e-07,"(np.float64(28.625136782620665), np.float64(29.140582416559937))","(np.float64(4.1052454128140975e-05), np.float64(4.1792416632522586e-05))"
5000,NetworkX Dijkstra,61.40394111871719,1.0356430118346829,8.805325740580661e-05,1.4870671529092363e-06,"(np.float64(60.919245269270455), np.float64(61.88863696816393))","(np.float64(8.735728855493125e-05), np.float64(8.874922625668197e-05))"
